variable,pearson_correlation,spearman_correlation,kendall_correlation,abs_pearson,abs_spearman,abs_kendall,avg_abs_corr
capacity,0.33163260864872657,0.3413065848657204,0.2545221551242578,0.33163260864872657,0.3413065848657204,0.2545221551242578,0.30915378287956824
hour_sin,-0.2917701206301075,-0.307417184933354,-0.22058948077161195,0.2917701206301075,0.307417184933354,0.22058948077161195,0.27325892877835783
longitude,-0.31045648954825544,-0.25583250669510055,-0.1826457445087996,0.31045648954825544,0.25583250669510055,0.1826457445087996,0.24964491358405186
hour,0.20365902899543417,0.22612086800692777,0.1776217504497885,0.20365902899543417,0.22612086800692777,0.1776217504497885,0.20246721581738347
temperature,0.17005085273912354,0.1938639284823653,0.1316514745448336,0.17005085273912354,0.1938639284823653,0.1316514745448336,0.1651887519221075
humidity,-0.144715276613214,-0.16614201009051238,-0.11224343449617356,0.144715276613214,0.16614201009051238,0.11224343449617356,0.14103357373329997
latitude,-0.14513318267216374,0.074719953174481,0.0644186275986199,0.14513318267216374,0.074719953174481,0.0644186275986199,0.09475725448175487
hour_cos,-0.1043579322434424,-0.09335771509894657,-0.057694729673498445,0.1043579322434424,0.09335771509894657,0.057694729673498445,0.08513679233862914
weekday,-0.07055017504503396,-0.07486709395281026,-0.053187729779145494,0.07055017504503396,0.07486709395281026,0.053187729779145494,0.06620166625899657
day_of_week,-0.07055017504503396,-0.07486709395281026,-0.053187729779145494,0.07055017504503396,0.07486709395281026,0.053187729779145494,0.06620166625899657
day_sin,0.058640921051734046,0.061996154595101785,0.04414921861550794,0.058640921051734046,0.061996154595101785,0.04414921861550794,0.05492876475411459
precipitation,-0.026600674997411086,-0.04485542849972357,-0.0360250215142515,0.026600674997411086,0.04485542849972357,0.0360250215142515,0.03582704167046205
wind_speed,-0.02531122925026282,-0.021116583309111796,-0.014015682384177513,0.02531122925026282,0.021116583309111796,0.014015682384177513,0.02014783164785071
month_cos,0.010395782632739796,0.011633327834666252,0.009509148875434434,0.010395782632739796,0.011633327834666252,0.009509148875434434,0.010512753114280161
month_sin,-0.010395782632739662,-0.011633327834666252,-0.009509148875434434,0.010395782632739662,0.011633327834666252,0.009509148875434434,0.010512753114280115
month,-0.010395782632732928,-0.011633327834666252,-0.009509148875434434,0.010395782632732928,0.011633327834666252,0.009509148875434434,0.010512753114277872
day_cos,-0.0055691207464896595,0.010304077939292883,0.0073745076842625466,0.0055691207464896595,0.010304077939292883,0.0073745076842625466,0.007749235456681697
day_of_year,-0.00936592049229968,-0.007882484597714722,-0.005236573931835152,0.00936592049229968,0.007882484597714722,0.005236573931835152,0.007494993007283184
day,-0.008050765157530781,-0.006418427816712632,-0.004241374340135409,0.008050765157530781,0.006418427816712632,0.004241374340135409,0.0062368557714596075
