variable,kendall_correlation,abs_correlation
capacity,0.2545221551242578,0.2545221551242578
hour_sin,-0.22058948077161195,0.22058948077161195
longitude,-0.1826457445087996,0.1826457445087996
hour,0.1776217504497885,0.1776217504497885
temperature,0.1316514745448336,0.1316514745448336
humidity,-0.11224343449617356,0.11224343449617356
latitude,0.0644186275986199,0.0644186275986199
hour_cos,-0.057694729673498445,0.057694729673498445
day_of_week,-0.053187729779145494,0.053187729779145494
weekday,-0.053187729779145494,0.053187729779145494
day_sin,0.04414921861550794,0.04414921861550794
precipitation,-0.0360250215142515,0.0360250215142515
wind_speed,-0.014015682384177513,0.014015682384177513
month_sin,-0.009509148875434434,0.009509148875434434
month,-0.009509148875434434,0.009509148875434434
month_cos,0.009509148875434434,0.009509148875434434
day_cos,0.0073745076842625466,0.0073745076842625466
day_of_year,-0.005236573931835152,0.005236573931835152
day,-0.004241374340135409,0.004241374340135409
