variable,linear_r_squared,quadratic_r_squared,improvement,bin_count
hour_cos,0.533845951253094,0.6598299658291603,0.12598401457606634,10
weekday,0.6766037925258979,0.7866335756063053,0.11002978308040745,6
day_of_week,0.6766037925258979,0.7866335756063053,0.11002978308040745,6
hour,0.41272083283664573,0.47786739621979646,0.06514656338315072,10
humidity,0.8944929132793785,0.9403642138180596,0.04587130053868105,10
hour_sin,0.9441708486317548,0.9813766158156391,0.03720576718388424,10
temperature,0.9306516483297517,0.9496950442337444,0.019043395903992733,10
capacity,,,,8
longitude,,,,8
latitude,,,,8
