variable,pearson_correlation,abs_correlation
capacity,0.33163260864872657,0.33163260864872657
longitude,-0.31045648954825544,0.31045648954825544
hour_sin,-0.2917701206301075,0.2917701206301075
hour,0.20365902899543417,0.20365902899543417
temperature,0.17005085273912354,0.17005085273912354
latitude,-0.14513318267216374,0.14513318267216374
humidity,-0.144715276613214,0.144715276613214
hour_cos,-0.1043579322434424,0.1043579322434424
day_of_week,-0.07055017504503396,0.07055017504503396
weekday,-0.07055017504503396,0.07055017504503396
day_sin,0.058640921051734046,0.058640921051734046
precipitation,-0.026600674997411086,0.026600674997411086
wind_speed,-0.02531122925026282,0.02531122925026282
month_cos,0.010395782632739796,0.010395782632739796
month_sin,-0.010395782632739662,0.010395782632739662
month,-0.010395782632732928,0.010395782632732928
day_of_year,-0.00936592049229968,0.00936592049229968
day,-0.008050765157530781,0.008050765157530781
day_cos,-0.0055691207464896595,0.0055691207464896595
