variable,spearman_correlation,abs_correlation
capacity,0.3413065848657204,0.3413065848657204
hour_sin,-0.307417184933354,0.307417184933354
longitude,-0.25583250669510055,0.25583250669510055
hour,0.22612086800692777,0.22612086800692777
temperature,0.1938639284823653,0.1938639284823653
humidity,-0.16614201009051238,0.16614201009051238
hour_cos,-0.09335771509894657,0.09335771509894657
weekday,-0.07486709395281026,0.07486709395281026
day_of_week,-0.07486709395281026,0.07486709395281026
latitude,0.074719953174481,0.074719953174481
day_sin,0.061996154595101785,0.061996154595101785
precipitation,-0.04485542849972357,0.04485542849972357
wind_speed,-0.021116583309111796,0.021116583309111796
month_sin,-0.011633327834666252,0.011633327834666252
month,-0.011633327834666252,0.011633327834666252
month_cos,0.011633327834666252,0.011633327834666252
day_cos,0.010304077939292883,0.010304077939292883
day_of_year,-0.007882484597714722,0.007882484597714722
day,-0.006418427816712632,0.006418427816712632
