amenity,capacity,parking,access,fee,coordinates
parking,19.516616314199396,surface,,unknown,"[(2.1923811, 41.4963779), (2.1922933, 41.4965245), (2.19188, 41.4969781), (2.1917804, 41.4968556), (2.1916556, 41.4963779), (2.1916489, 41.4962831), (2.1916691, 41.496177), (2.1917349, 41.4960266), (2.1918058, 41.4958813), (2.1917602, 41.4956273), (2.1920116, 41.4956096), (2.1920605, 41.4956588), (2.1921499, 41.4957397), (2.1922056, 41.4958029), (2.1922512, 41.4958787), (2.1922933, 41.4960253), (2.1923811, 41.4963779)]"
parking,19.516616314199396,surface,,unknown,"[(2.1907113, 41.4967566), (2.1907862, 41.4966321), (2.1908196, 41.4965759), (2.1908789, 41.4965957), (2.1907601, 41.4967955), (2.1907001, 41.4967754), (2.1907113, 41.4967566)]"
parking,19.516616314199396,,,no,"[(2.1351464, 41.4192392), (2.1351738, 41.4191737), (2.1352434, 41.4190745), (2.1352888, 41.4189615), (2.1353617, 41.4188839), (2.1354613, 41.41884), (2.135453, 41.4189564), (2.1353098, 41.4192351), (2.1351938, 41.4193187), (2.1348998, 41.4196518), (2.1348356, 41.4196387), (2.1351464, 41.4192392)]"
parking,19.516616314199396,surface,,unknown,"[(2.111384, 41.341706), (2.1110849, 41.3414873), (2.1110134, 41.3414421), (2.110831, 41.3413121), (2.1107988, 41.3412674), (2.1107874, 41.3412729), (2.1107736, 41.3412982), (2.1107171, 41.3413427), (2.1107007, 41.3413242), (2.1106942, 41.3413063), (2.1106947, 41.3412877), (2.1107022, 41.3412679), (2.1107721, 41.3411517), (2.1108051, 41.3411003), (2.1108307, 41.3410623), (2.1108435, 41.3410486), (2.1108598, 41.3410351), (2.1108782, 41.341023), (2.1108979, 41.3410137), (2.1109252, 41.3410029), (2.1109644, 41.340991), (2.1110026, 41.3409815), (2.1110371, 41.3409769), (2.1110665, 41.3409744), (2.1110925, 41.3409731), (2.1111091, 41.3409733), (2.1111277, 41.3409753), (2.1111462, 41.3409802), (2.111189, 41.3410038), (2.1113793, 41.3408619), (2.1115173, 41.3409521), (2.1119416, 41.3409226), (2.1122915, 41.3409017), (2.1123487, 41.3409377), (2.1122047, 41.3410555), (2.1119946, 41.3412191), (2.112003, 41.3412253), (2.1117485, 41.3414219), (2.1116963, 41.3414653), (2.1115886, 41.34155), (2.1115435, 41.3415842), (2.111384, 41.341706)]"
parking,19.516616314199396,surface,,no,"[(1.7641614, 42.1415818), (1.764231, 42.1415957), (1.7643137, 42.1416111), (1.7644302, 42.1416139), (1.7645485, 42.1415804), (1.7647402, 42.1414606), (1.7648746, 42.1415114), (1.7648362, 42.1415704), (1.7648003, 42.1416487), (1.7647214, 42.1421461), (1.7641464, 42.1420374), (1.7641268, 42.1420014), (1.7641107, 42.1419719), (1.7641614, 42.1415818)]"
parking,19.516616314199396,,,unknown,"[(2.0247092, 41.4698424), (2.0247042, 41.4698467), (2.0246953, 41.4698509), (2.0246819, 41.4698541), (2.0246678, 41.4698539), (2.0246546, 41.4698503), (2.0246437, 41.4698437), (2.0246367, 41.4698357), (2.0246332, 41.4698265), (2.024873, 41.4684865), (2.024877, 41.4684775), (2.0248843, 41.4684697), (2.0248944, 41.4684639), (2.0249062, 41.4684606), (2.0249189, 41.46846), (2.0249312, 41.4684622), (2.0249422, 41.468467), (2.0249515, 41.4684749), (2.0249569, 41.4684847), (2.0249581, 41.4684906), (2.0249576, 41.4684998), (2.0247142, 41.4698348), (2.024713, 41.4698374), (2.0247092, 41.4698424)]"
parking,19.516616314199396,underground,,yes,"[(2.2251374, 41.4487125), (2.224555, 41.4490295), (2.2243409, 41.4489367), (2.2244597, 41.4485143), (2.2246369, 41.4484964), (2.2250384, 41.448612), (2.2250485, 41.4486479), (2.2250853, 41.448656), (2.2251374, 41.4487125)]"
parking,19.516616314199396,surface,,no,"[(1.8753407, 41.7654884), (1.8751273, 41.7654061), (1.8750192, 41.7653621), (1.8745769, 41.7648013), (1.8743828, 41.7645373), (1.8743336, 41.7643138), (1.8744221, 41.7640352), (1.8745228, 41.7639692), (1.8746703, 41.7639545), (1.876115, 41.7644036), (1.8763588, 41.7645735), (1.8767011, 41.7648327), (1.87696, 41.7650971), (1.8770903, 41.7652941), (1.8763762, 41.7654081), (1.8758202, 41.7654638), (1.8753407, 41.7654884)]"
parking,19.516616314199396,surface,,unknown,"[(1.5390123, 41.7020654), (1.5396609, 41.7022596), (1.5396915, 41.7024126), (1.5395966, 41.7027529), (1.5388563, 41.7026501), (1.5390123, 41.7020654)]"
parking,19.516616314199396,surface,,no,"[(1.8054413, 41.7366278), (1.8056463, 41.7364412), (1.8061586, 41.7368001), (1.8059383, 41.7369612), (1.8054413, 41.7366278)]"
parking,19.516616314199396,surface,,unknown,"[(2.1349245, 41.7454404), (2.1346742, 41.7453746), (2.1342453, 41.7453009), (2.1342141, 41.745266), (2.1342167, 41.7452272), (2.1342557, 41.7452001), (2.1342557, 41.7451792), (2.1348113, 41.745264), (2.1351291, 41.7452583), (2.135268, 41.7453722), (2.1351897, 41.7454403), (2.1349245, 41.7454404)]"
parking,19.516616314199396,surface,,no,"[(1.7401478, 41.7340889), (1.7403531, 41.734187), (1.7403251, 41.734306), (1.7402187, 41.7343005), (1.7400932, 41.7342575), (1.7400415, 41.7341991), (1.7401478, 41.7340889)]"
parking,19.516616314199396,surface,,no,"[(1.8096414, 41.7484759), (1.8096346, 41.7485224), (1.8092197, 41.7484189), (1.8095341, 41.7478501), (1.8097534, 41.7479198), (1.8095385, 41.7483632), (1.8096414, 41.7484759)]"
parking,19.516616314199396,surface,,no,"[(1.809445, 41.7475344), (1.8093806, 41.7477185), (1.8092036, 41.7478626), (1.8090373, 41.7481868), (1.8090692, 41.7483141), (1.8089622, 41.7484189), (1.8087154, 41.7482909), (1.8088334, 41.7480027), (1.8090212, 41.7477506), (1.809445, 41.7475344)]"
parking,19.516616314199396,surface,,unknown,"[(1.6626064, 41.9278951), (1.6625562, 41.9277729), (1.6625689, 41.9277256), (1.6626123, 41.9277028), (1.662742, 41.92769), (1.6627691, 41.9277791), (1.6627917, 41.9278698), (1.6627339, 41.9279278), (1.6626557, 41.9279115), (1.6626064, 41.9278951)]"
parking,19.516616314199396,surface,,no,"[(1.890229, 41.7788708), (1.889976, 41.7789552), (1.8898368, 41.7790017), (1.8896712, 41.778732), (1.8895993, 41.778642), (1.8895232, 41.778601), (1.8893011, 41.7785711), (1.8889922, 41.7785237), (1.889075, 41.7782712), (1.8897566, 41.7784909), (1.8898851, 41.7785511), (1.8899603, 41.7785776), (1.8899958, 41.7785263), (1.8902369, 41.7786126), (1.8902186, 41.7786473), (1.8902759, 41.7786711), (1.890229, 41.7788708)]"
parking,19.516616314199396,surface,,no,"[(1.84798, 42.1024813), (1.8478046, 42.1024272), (1.8476958, 42.1023829), (1.8476126, 42.1023038), (1.8475998, 42.1021756), (1.8474228, 42.1020379), (1.8473161, 42.1019793), (1.8470644, 42.1019397), (1.8469343, 42.1019382), (1.846881, 42.1018479), (1.8468127, 42.1017799), (1.8467082, 42.1016881), (1.8466143, 42.1015615), (1.8467461, 42.1014219), (1.8479578, 42.1021622), (1.8480601, 42.1022247), (1.84798, 42.1024813)]"
