feature,importance
hour_cos,0.23782891857430324
parking_type_Resident,0.20167383904474345
hour,0.1604518643026903
hour_sin,0.11737534526867746
temperature,0.027271701440311186
humidity,0.02409322994237709
wind_speed,0.0235977817637443
is_weekend_True,0.022638601656305747
day_of_week,0.02249392255788871
day_sin,0.020510281052776302
weekday,0.01753845176936074
location_id_LOC_1,0.017262659994218367
is_weekend_False,0.01481422306291622
parking_type_Public,0.013623466280002813
capacity,0.01288461404695748
latitude,0.011784877991559509
day_of_year,0.00886278272952609
day,0.008848184816953375
time_category_evening,0.008472756053274421
time_category_afternoon,0.005559044612186563
time_category_morning,0.005444996818823867
parking_type_Mixed,0.0032599801913259577
day_cos,0.002536911389691652
longitude,0.002520492823268974
precipitation,0.0019067131839565449
location_id_LOC_2,0.0016771279844232903
location_id_LOC_5,0.001427560721590573
location_id_LOC_3,0.0012867008559404977
location_id_LOC_4,0.0010672491249014324
time_category_night,0.0007299487743871238
is_holiday_False,0.0002743866647258199
is_holiday_True,0.0002691840245138749
month_sin,5.112552070150457e-06
month_cos,3.9400911035762266e-06
month,3.147838503305971e-06
