traffic_sensitivity,zone_influence,weather_impact,time_pattern,capacity_factor,mse,rmse,mae,r2
0.2,0.2,0.1,0.3,0.1,3148.2206861657337,56.10900717501365,53.31403333589701,-5.109993626136434
0.2,0.2,0.1,0.3,0.3,3139.698746430962,56.033014789773375,53.234301792272845,-5.093454443324192
0.2,0.2,0.1,0.3,0.5,3131.1896066961904,55.957033576630835,53.15457024864869,-5.076940102454817
0.2,0.2,0.1,0.3,0.7,3122.693266961418,55.88106358115795,53.074838705024526,-5.060450603528306
0.2,0.2,0.1,0.5,0.1,1988.845600514252,44.596475202803326,42.05117098457823,-2.859905373187631
0.2,0.2,0.1,0.5,0.3,1982.1368151418958,44.52119512256938,41.972244810081584,-2.846885118272104
0.2,0.2,0.1,0.5,0.5,1975.4408297695402,44.44593153225096,41.89331863558494,-2.8338897052994434
0.2,0.2,0.1,0.5,0.7,1968.7576443971843,44.3706845157609,41.81439246108829,-2.8209191342696487
0.2,0.2,0.1,0.7,0.1,1133.6450115070656,33.669645253656384,30.880316844813166,-1.2001519223372816
0.2,0.2,0.1,0.7,0.3,1128.749380497126,33.596865635013124,30.80273295219572,-1.1906505953184698
0.2,0.2,0.1,0.7,0.5,1123.866549487186,33.5241189218626,30.725149059578264,-1.1811741102425235
0.2,0.2,0.1,0.7,0.7,1118.9965184772464,33.45140532888337,30.64778458218605,-1.171722467109444
0.2,0.2,0.1,0.9,0.1,582.6189191441744,24.13750026709838,20.422353230389124,-0.1307332735853839
0.2,0.2,0.1,0.9,0.3,579.5364424966509,24.073563145007242,20.354970680053555,-0.1247508744632877
0.2,0.2,0.1,0.9,0.5,576.4667658491272,24.009722319284062,20.287822087440034,-0.11879331728405673
0.2,0.2,0.1,0.9,0.7,573.4098892016037,23.94597856011743,20.220707993480303,-0.1128606020476921
0.2,0.2,0.3,0.3,0.1,3131.652837342911,55.96117258727618,53.15902520987538,-5.077839129740716
0.2,0.2,0.3,0.3,0.3,3123.1557928367415,55.885201912820726,53.079293666251225,-5.061348263010237
0.2,0.2,0.3,0.3,0.5,3114.671548330572,55.809242499164704,52.99956212262706,-5.044882238222625
0.2,0.2,0.3,0.3,0.7,3106.200103824402,55.73329439235045,52.91983057900289,-5.028441055377877
0.2,0.2,0.3,0.5,0.1,1975.8009925178305,44.449983042941994,41.8977199287132,-2.834588700800647
0.2,0.2,0.3,0.5,0.3,1969.1171023740767,44.37473495553609,41.81879375421655,-2.821616761966883
0.2,0.2,0.3,0.5,0.5,1962.4460122303233,44.29950352126222,41.739867579719906,-2.8086696650759855
0.2,0.2,0.3,0.5,0.7,1955.7877220865698,44.22428882510797,41.66094140522326,-2.7957474101279542
0.2,0.2,0.3,0.7,0.1,1124.1236443370456,33.52795317846059,30.729468072837175,-1.1816730739590313
0.2,0.2,0.3,0.7,0.3,1119.2529085557082,33.45523738603133,30.652132737030165,-1.172220063021983
0.2,0.2,0.3,0.7,0.5,1114.3949727743702,33.38255491681801,30.57481730078855,-1.1627918940277997
0.2,0.2,0.3,0.7,0.7,1109.5498369930328,33.30990598895519,30.497501864546948,-1.1533885669764827
0.2,0.2,0.3,0.9,0.1,576.6207928005557,24.012929700487522,20.291629288384588,-0.11909224921586725
0.2,0.2,0.3,0.9,0.3,573.5632113816343,23.949179764276572,20.224515194424857,-0.11315816617553387
0.2,0.2,0.3,0.9,0.5,570.5184299627128,23.885527625797025,20.157401100465123,-0.10724892507806616
0.2,0.2,0.3,0.9,0.7,567.4864485437915,23.82197406899335,20.090287006505392,-0.10136452592346434
0.2,0.2,0.5,0.3,0.1,3115.1339385900255,55.81338494115928,53.00401708385375,-5.045779634504425
0.2,0.2,0.5,0.3,0.3,3106.6617893124585,55.73743615661254,52.9242855402296,-5.02933708385571
0.2,0.2,0.5,0.3,0.5,3098.202440034891,55.6614987225002,52.84455399660543,-5.012919375149861
0.2,0.2,0.5,0.3,0.7,3089.7558907573234,55.58557268534096,52.76482245298127,-4.996526508386876
0.2,0.2,0.5,0.5,0.1,1962.8053345913465,44.303558938208866,41.74426887284817,-2.80936702957309
0.2,0.2,0.5,0.5,0.3,1956.1463396761953,44.22834317127644,41.66534269835152,-2.7964434068210897
0.2,0.2,0.5,0.5,0.5,1949.5001447610437,44.153144222818874,41.58641652385487,-2.7835446260119543
0.2,0.2,0.5,0.5,0.7,1942.8667498458922,44.07796217891535,41.50749034935823,-2.770670687145685
0.2,0.2,0.5,0.7,0.1,1114.651227236963,33.38639284554357,30.579165455632673,-1.1632892267402077
0.2,0.2,0.5,0.7,0.3,1109.8053866842274,33.313741709454185,30.501850019391064,-1.153884531884922
0.2,0.2,0.5,0.7,0.5,1104.9723461314923,33.24112432111002,30.424534583149452,-1.1445046789725022
